,scientific_name,local_names.common,local_names.indonesian,altitude_min,altitude_max,temperature_min,temperature_max,rainfall_min,rainfall_max,ph_min,ph_max,chalky,clay,loamy,peat,rocky,sandy,silt,volcanic
102,Eucalyptus urophylla,Timor White Gum,Eukaliptus Timor,0,3000,10,35,700,2500,5.5,7.0,0,0,1,0,0,0,0,1
103,Euonymus japonicus,Japanese Spindle,Euonymus Jepang,0,1500,-10,35,600,2000,6.0,7.5,0,0,1,0,0,1,0,0
104,Euphorbia tirucalli,Pencil Tree,Patah Tulang,0,2000,10,40,200,1500,6.0,8.5,0,0,0,0,1,1,0,0
105,Fagraea racemosa,False Coffee Tree,Temu Lawak,0,500,22,32,1500,4000,5.5,7.0,0,0,1,0,0,1,0,0
106,Feronia limonia,Wood Apple,Kawista,0,500,20,38,500,2000,5.5,8.0,0,0,1,0,0,1,0,0
107,Ficus subcordata,Ficus,Ara,0,1000,18,35,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
108,Flacourtia indica,Governor's Plum,Kawista Kecil,0,1500,15,38,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
109,Flemingia macrophylla,Flemingia,Kacang-kacangan,0,2000,15,35,1000,3500,4.5,7.5,0,1,1,0,0,0,0,0
110,Garcinia mangostana,Mangosteen,Manggis,0,1000,25,35,1500,4000,5.0,6.5,0,0,1,0,0,1,0,0
111,Gliricidia sepium,Madre de Cacao,Gamal,0,1600,15,38,800,3000,5.0,8.0,0,0,1,0,0,1,0,0
112,Gmelina arborea,White Teak,Jati Putih,0,1200,18,38,750,4500,5.0,8.0,0,0,1,0,0,1,0,0
113,Gnetum gnemon,Melinjo,Belinjo,0,1200,20,35,1500,4000,5.5,7.0,0,0,1,0,0,1,0,0
114,Gonystylus bancanus,Ramin,Ramin,0,500,24,32,2000,4000,4.0,6.5,0,0,1,1,0,0,0,0
115,Grevillea robusta,Silky Oak,Grevillea,0,2000,10,35,800,3000,5.0,7.5,0,0,1,0,0,1,0,0
116,Guazuma ulmifolia,West Indian Elm,Jati Belanda,0,1500,18,38,600,2500,5.0,8.5,0,0,1,0,0,1,0,0
117,Haematoxylum campechianum,Logwood,Kayu Campesi,0,500,20,35,1000,2500,6.0,8.0,0,0,1,0,0,1,0,0
118,Hardwickia binata,Anjan,Anjan,0,1000,15,45,500,1500,6.5,8.5,0,0,0,0,1,1,0,0
119,Hevea brasiliensis,Rubber Tree,Karet,0,800,24,34,1500,4000,4.5,6.5,0,0,1,0,0,1,0,0
120,Hibiscus sabdariffa,Roselle,Rosella,0,1000,18,35,1000,2000,5.5,7.5,0,0,1,0,0,1,0,0
121,Illicium verum,Star Anise,Bunga Lawang,200,1500,15,28,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
122,Indigofera arrecta,Natal Indigo,Tarum,0,2000,15,35,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
123,Intsia bijuga,Merbau,Merbau,0,500,22,32,1500,5000,5.0,7.5,0,0,1,0,0,1,0,0
124,Jatropha curcas,Physic Nut,Jarak Pagar,0,1500,18,40,300,3000,5.0,8.5,0,0,1,0,0,1,0,0
125,Khaya ivorensis,African Mahogany,Mahoni Afrika,0,800,22,35,1200,4000,5.5,7.5,0,0,1,0,0,1,0,0
126,Khaya senegalensis,Dry Zone Mahogany,Mahoni Kering,0,1500,15,40,500,1500,5.0,7.5,0,0,1,0,0,1,0,0
127,Lawsonia inermis,Henna,Pacar,0,1200,15,45,300,2000,4.3,8.0,0,0,1,0,0,1,0,0
128,Leucaena diversifolia,Wild Tamarind,Lamtoro Gunung,500,2500,10,30,1000,3000,5.0,7.5,0,0,1,0,0,0,0,1
129,Leucaena leucocephala,Leadtree,Lamtoro,0,1500,15,35,650,3000,5.0,8.0,0,0,1,0,0,1,0,0
130,Leucaena trichandra,Hairy Leadtree,Lamtoro Bulu,0,1800,12,35,800,2500,5.5,7.5,0,0,1,0,0,1,0,0
131,Litchi chinensis,Lychee,Leci,0,1000,10,35,1200,2000,5.0,7.0,0,0,1,0,0,1,0,0
132,Macadamia integrifolia,Macadamia Nut,Kacang Macadamia,0,800,15,30,1000,2500,5.0,6.5,0,0,1,0,0,0,0,1
133,Macadamia tetraphylla,Rough-shell Macadamia,Macadamia Kasar,0,1000,10,28,1000,3000,5.0,6.5,0,0,1,0,0,0,0,1
134,Macaranga tanarius,Parasol Leaf Tree,Mahang,0,1500,18,35,1500,4000,4.5,7.0,0,0,1,0,0,1,0,0
135,Madhuca utilis,Bassia,Nyatoh,0,1000,20,35,1500,4000,5.0,7.0,0,0,1,0,0,1,0,0
136,Maesopsis eminii,Umbrella Tree,Kayu Afrika,0,1800,18,32,1200,3500,5.5,7.5,0,0,1,0,0,1,0,0
137,Mallotus philippensis,Kamala Tree,Kemala,0,1500,15,38,800,3000,5.0,7.5,0,0,1,0,0,1,0,0
138,Malpighia glabra,Acerola,Ceremai Belanda,0,800,20,35,1000,2000,5.5,7.0,0,0,1,0,0,1,0,0
139,Mangifera caesia,Binjai,Binjai,0,500,24,32,1500,3000,5.5,7.0,0,1,1,0,0,0,0,0
140,Mangifera foetida,Horse Mango,Bacang,0,800,22,35,1500,4000,5.0,7.0,0,0,1,0,0,1,0,0
141,Mangifera indica,Mango,Mangga,0,1200,15,38,800,2500,5.5,7.5,0,0,1,0,0,1,0,0
142,Mangifera odorata,Kuini,Kuini,0,600,24,34,1500,3500,5.5,7.0,0,0,1,0,0,1,0,0
143,Manilkara zapota,Sapodilla,Sawo,0,500,22,34,1000,2500,6.0,7.5,0,0,1,0,0,1,0,0
144,Melaleuca alternifolia,Tea Tree,Pohon Teh,0,800,10,30,1000,2000,5.0,7.0,0,0,1,0,0,1,0,0
145,Melaleuca quinquenervia,Paperbark,Kayu Putih,0,1000,15,35,800,3000,4.5,7.5,0,0,1,0,0,1,0,0
146,Melia azedarach,Chinaberry,Mindi,0,2000,-5,40,500,2500,5.0,8.0,0,1,1,0,0,1,0,0
147,Mesua ferrea,Ironwood,Nagasari,0,1500,18,35,1500,4000,5.5,7.5,0,0,1,0,0,1,0,0
148,Metroxylon sagu,Sago Palm,Sagu,0,500,24,35,2000,5000,4.0,7.0,0,1,0,1,0,0,0,0
149,Michelia champaca,Champak,Cempaka,0,2000,10,35,1200,3000,5.5,7.5,0,0,1,0,0,1,0,0
150,Mimosa pigra,Giant Sensitive Plant,Putri Malu Besar,0,500,20,38,800,2500,4.5,8.0,0,1,0,0,0,0,1,0
151,Morinda citrifolia,Noni,Mengkudu,0,500,20,35,1000,4000,5.0,8.5,0,0,0,0,1,1,0,0
152,Moringa oleifera,Drumstick Tree,Kelor,0,1500,18,40,500,2000,5.0,9.0,0,0,1,0,0,1,0,0
153,Morus alba,White Mulberry,Murbei Putih,0,2500,-20,38,600,2000,5.5,8.0,0,1,1,0,0,0,0,0
154,Morus nigra,Black Mulberry,Murbei Hitam,0,1500,-10,35,800,1500,6.0,7.5,0,0,1,0,0,1,0,0
155,Myristica fragrans,Nutmeg,Pala,0,700,20,30,1500,3500,5.5,7.0,0,0,1,0,0,0,0,1
156,Nauclea orientalis,Leichhardt Tree,Bengkang,0,500,22,35,1500,4000,5.0,7.5,0,1,1,0,0,0,0,0
157,Neobalanocarpus heimii,Chengal,Chengal,0,800,24,32,2000,4000,4.5,6.5,0,0,1,0,0,1,0,0
158,Nephelium lappaceum,Rambutan,Rambutan,0,600,22,35,1500,3000,4.5,6.5,0,0,1,0,0,1,0,0
159,Nephelium ramboutan-ake,Pulasan,Kapulasan,0,500,24,32,2000,3500,5.0,6.5,0,1,1,0,0,0,0,0
160,Ocimum gratissimum,African Basil,Kemangi Hutan,0,1500,15,35,800,2500,5.5,7.5,0,0,1,0,0,1,0,0
161,Orbignya phalerata,Babassu Palm,Palem Babasu,0,800,22,35,1500,2500,5.0,7.0,0,0,1,0,0,1,0,0
162,Osyris lanceolata,African Sandalwood,Cendana Afrika,0,2000,10,35,500,1500,6.0,8.0,0,0,0,0,1,1,0,0
163,Paraserianthes falcataria,Albizia,Sengon,0,1500,18,35,1500,4000,5.0,7.5,0,0,1,0,0,1,0,0
164,Parkia speciosa,Stink Bean,Petai,0,1200,20,35,1500,3000,5.5,7.0,0,1,1,0,0,0,0,0
165,Parkinsonia aculeata,Jerusalem Thorn,Parkinsonia,0,1500,10,40,200,1000,6.0,9.0,0,0,0,0,1,1,0,0
166,Peltophorum dasyrhachis,Yellow Flame,Soga,0,500,22,35,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
167,Peltophorum pterocarpum,Copperpod,Soga Perak,0,800,20,38,1000,3500,5.0,8.0,0,0,1,0,0,1,0,0
168,Persea americana,Avocado,Alpukat,0,2500,12,32,800,2000,5.0,7.0,0,0,1,0,0,1,0,0
169,Phyllanthus acidus,Star Gooseberry,Cermai,0,1000,18,35,1000,2500,5.5,7.5,0,0,1,0,0,1,0,0
170,Phyllanthus reticulatus,Black-Honey Shrub,Meniran,0,1500,15,38,800,3000,5.0,8.0,0,0,1,0,0,1,0,0
171,Piliostigma malabaricum,Malabar Fig,Kupang,0,800,20,38,1000,2500,5.5,7.5,0,0,1,0,0,1,0,0
172,Pinus caribaea,Caribbean Pine,Pinus Karibia,0,1000,15,35,1000,3000,4.5,6.5,0,0,1,0,0,1,0,0
173,Pinus kesiya,Khasi Pine,Pinus Khasi,800,2500,5,28,1000,2500,5.0,6.5,0,0,1,0,0,1,0,0
174,Pinus merkusii,Merkus Pine,Pinus Merkus,0,2000,10,32,1000,3000,4.5,6.5,0,0,1,0,0,1,0,0
175,Pinus patula,Mexican Weeping Pine,Pinus Meksiko,1500,3000,5,25,1000,2000,5.0,6.5,0,0,1,0,0,1,0,0
176,Piper methysticum,Kava,Kava,0,800,20,35,1500,4000,5.5,7.0,0,0,1,0,0,0,0,1
